City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
beldanga,21.2667,-97.45,87.8,64,44,13.09,MX,1626982368
fernandez,-45.8742,170.5036,41.81,75,3,1.01,NZ,1626982085
hurghada,-7.95,110.2833,73.92,90,36,4.05,ID,1626982368
west lafayette,18.0333,78.2667,74.66,89,100,14.36,IN,1626982369
gangotri,-22.4667,-68.9333,75.69,6,0,14.97,CL,1626982369
palu,-29.1211,26.214,29.68,55,0,4.61,ZA,1626982369
hervey bay,5.5577,95.3222,80.08,82,99,14.41,ID,1626982306
atambua,51.7522,-1.256,78.37,51,0,4.61,GB,1626982092
buqayq,46.6166,10.7002,63.64,83,23,1.74,IT,1626982370
huron,30.9415,31.2915,78.13,74,0,8.86,EG,1626982370
weyburn,-15.856,27.748,59.85,27,9,5.5,ZM,1626982371
koroni,0.0722,42.7506,75.42,79,66,12.82,SO,1626982371
shache,69.4719,25.5112,44.71,81,100,14.25,NO,1626982253
cahul,14.9215,-23.5087,81.14,69,20,14.97,CV,1626982372
attawapiskat,65.75,150.85,56.17,84,100,13.49,RU,1626982372
nishihara,21.4612,-71.1419,85.96,66,40,13.8,TC,1626982344
makakilo city,-24.6333,17.9667,44.73,18,0,11.05,NA,1626982373
veinticinco de mayo,66.3167,-179.1667,41.14,79,99,0.96,RU,1626982373
nanortalik,38.3906,35.4922,74.55,44,0,4.7,TR,1626982374
margate,53.75,127.2667,70.16,98,28,4.63,RU,1626982374
beaverlodge,20.5022,-10.0711,97.09,10,19,9.31,MR,1626982374
quatre cocos,44.0582,-121.3153,72.07,24,1,1.99,US,1626982210
fevralsk,43.1458,21.2686,69.55,79,0,4.54,RS,1626982375
eyl,-24.7,44.75,68.72,69,27,3.44,MG,1626982375
minab,54.7169,-113.2854,64.11,24,98,12.86,CA,1626982211
batagay,34.7105,137.5316,76.71,79,85,4.23,JP,1626982376
riyadh,-28.783,32.0377,61.93,34,0,16.42,ZA,1626982376
samalaeulu,-32.7167,152.15,50.58,90,100,7.14,AU,1626982315
shellbrook,-2.5842,-49.5072,88.83,52,100,2.01,BR,1626982377
goderich,46.95,128.05,70.43,91,66,4.65,CN,1626982377
tuatapere,70.0167,135.6,52.99,70,100,4.83,RU,1626982378
nhulunbuy,26.326,43.975,100.85,14,65,11.48,SA,1626982378
port-gentil,42.6727,21.1669,65.57,63,20,3.44,XK,1626982378
tamiahua,48.0075,-66.6727,70.25,56,74,2.33,CA,1626982379
dunedin,18.8003,110.3967,78.73,89,100,6.2,CN,1626982244
bambanglipuro,-6.1349,12.3689,71.83,83,32,10.92,AO,1626982379
medak,11.7361,41.0853,89.28,43,99,7.29,ET,1626982380
calama,37.2711,-87.1764,84.76,61,75,1.01,US,1626982380
bloemfontein,16.45,-85.85,87.85,79,91,19.82,HN,1626982251
banda aceh,4.8845,-1.7554,75.83,82,11,9.01,GH,1626982381
oxford,62.1564,-7.1664,50.92,93,100,4.61,FO,1626982381
lasa,33.7445,-118.387,77.43,74,20,3,US,1626982183
aja,-0.0333,109.3333,76.98,100,90,1.14,ID,1626982382
mazabuka,63.4427,-20.2734,53.98,95,100,20.71,IS,1626982382
jamame,46.844,74.9804,73.49,57,58,12.84,KZ,1626982383
karasjok,33.3597,129.5531,78.39,77,100,10.76,JP,1626982383
praya,45.1805,-89.6835,74.68,79,90,3.44,US,1626982384
zyryanka,27.7523,-98.0697,85.78,71,75,26.46,US,1626982384
cockburn town,31.6315,-8.0083,100.47,23,40,6.91,MA,1626982166
mariental,52.3668,-114.9188,55.51,76,100,9.22,CA,1626982385
egvekinot,40.6103,115.0447,66,85,10,4.45,CN,1626982385
develi,55.2822,65.3175,72.86,65,2,8.25,RU,1626982385
zeya,35,132.2167,75.18,71,100,4.65,JP,1626982386
adrar,-51.6226,-69.2181,50.05,53,40,4.61,AR,1626982386
bend,53.9202,102.0442,58.78,74,51,3.76,RU,1626982387
kursumlija,46.3597,8.9697,74.89,89,1,5.84,CH,1626982387
ampanihy,33.4151,-111.5496,98.44,36,75,3,US,1626982387
yirol,-0.3167,102.35,75.45,90,83,2.46,ID,1626982388
athabasca,36.175,-115.1372,102.16,27,1,17.27,US,1626982107
kosai,44.6453,-63.5724,64.89,91,90,5.01,CA,1626982289
richards bay,54.7682,-101.865,75.04,78,90,10.36,CA,1626982389
nelson bay,-4.2761,-55.9836,91.56,62,75,10.36,BR,1626982389
mocajuba,33.194,-82.5271,89.1,52,60,1.05,US,1626982389
tieli,52.5249,111.5418,52.09,95,2,5.99,RU,1626982390
ust-kuyga,-37.8333,140.7667,42.71,93,90,9.22,AU,1626982289
buraydah,50.2001,-66.3821,65.23,76,75,3,CA,1626982321
pristina,-28.55,16.4333,54.91,56,0,18.7,NA,1626982252
campbellton,-19.6667,22.2667,48.7,13,1,8.19,BW,1626982391
wanning,-7.8747,-35.4503,75.43,64,8,13.35,BR,1626982391
soyo,-26.7117,27.838,40.15,54,0,7.4,ZA,1626982392
scottsburgh,20.0489,-75.9469,87.24,66,20,17.27,CU,1626982392
dubti,70.3705,31.1107,42.78,87,75,28.77,NO,1626982392
morehead,-26.6167,-54.1333,71.37,43,0,2.62,AR,1626982393
savannah bight,11.0167,29.7167,76.51,74,74,2.8,SD,1626982393
takoradi,-31.5375,-68.5364,71.56,13,94,3.65,AR,1626982393
vestmanna,42.1584,-72.3287,79.18,44,75,1.99,US,1626982394
bolungarvik,67.45,153.6833,58.75,57,32,9.93,RU,1626982394
rancho palos verdes,-0.2167,20.8667,81.59,36,94,1.5,CD,1626982395
pontianak,5.8933,95.3214,83.01,78,100,22.17,ID,1626982395
vestmannaeyjar,-26.6481,15.1594,58.55,37,8,11.32,NA,1626982301
balkhash,57.6953,93.2761,55,85,95,0.83,RU,1626982395
manzil tamim,67.667,12.6934,49.69,79,100,12.53,NO,1626982396
hirado,-4.352,152.2633,75.85,85,30,3.04,PG,1626982396
merrill,70.9963,24.6622,41.88,78,100,20.78,NO,1626982326
alice,10.9878,-74.9547,89.69,75,97,24.2,CO,1626982397
marrakesh,54.4299,31.8996,56.03,75,11,7.07,RU,1626982397
rocky mountain house,52.9995,31.6023,65.86,66,1,4.43,RU,1626982398
xuanhua,-8.7676,160.7034,77.13,89,37,3.04,SB,1626982398
lesnikovo,-20.1883,32.6236,55.24,32,0,1.12,ZW,1626982398
gotsu,-0.7818,29.7544,72.1,42,97,2.53,UG,1626982399
rio gallegos,-19.0595,-169.9187,69.69,100,64,3.44,NU,1626982399
zima,6.4965,2.6036,80.42,77,19,8.39,BJ,1626982400
biasca,13.2154,18.3353,78.33,75,100,8.05,TD,1626982400
apache junction,7.3833,8.5667,72.25,92,100,6.69,NG,1626982401
japura,64.8989,45.7622,46.98,98,81,5.73,RU,1626982401
saryshagan,-34.6534,-58.6198,67.05,52,64,5.01,AR,1626982190
las vegas,52.1415,-122.1445,62.22,33,75,3,CA,1626982212
halifax,28.4333,74.4833,89.87,60,93,10.47,IN,1626982402
flin flon,-36.1167,146.8833,42.26,93,90,4,AU,1626982402
itaituba,18.4275,-66.4921,87.42,73,1,18.61,PR,1626982402
avera,41.8484,3.1291,80.91,57,0,5.01,ES,1626982403
sosnovo-ozerskoye,29.0361,114.5636,74.3,90,19,1.81,CN,1626982403
skalistyy,53.1137,-3.3178,77.11,75,94,2.55,GB,1626982404
mount gambier,41.8558,123.9233,73.11,87,99,2.68,CN,1626982404
sept-iles,56.1481,113.4267,53.35,85,100,5.21,RU,1626982404
oranjemund,5.9485,80.5353,78.8,88,100,15.3,LK,1626982405
nokaneng,27.0377,14.4283,88.29,21,0,13.73,LY,1626982405
limoeiro,10.1333,-61.5,85.84,74,100,9.78,TT,1626982406
vanderbijlpark,9.1769,105.15,77.99,89,100,4.29,VN,1626982309
el cobre,-8.19,114.9675,78.66,89,13,4.94,ID,1626982406
vardo,6.7989,81.4808,78.71,69,100,13.31,LK,1626982407
mys shmidta,41.9563,42.9566,63.97,98,100,2.13,GE,1626982407
san vicente,36.5583,104.2081,72.48,67,59,5.64,CN,1626982408
kaduqli,34.9833,139.8667,75.16,83,2,3.42,JP,1626982408
san juan,-41.1456,-71.3082,55.15,50,75,17.27,AR,1626982408
palmer,15.5518,32.5324,87.03,61,85,10.47,SD,1626982409
srednekolymsk,33.7333,135.9833,77.92,88,74,5.19,JP,1626982409
boende,59.5833,151.2833,53.31,94,100,3.36,RU,1626982409
sabang,29.5577,70.3762,95.13,42,36,2.37,PK,1626982410
luderitz,35.3658,-120.8499,82.92,51,52,8.99,US,1626982410
kazachinskoye,65.4167,-52.9,42.19,97,100,15.95,GL,1626982411
sorland,-8.4667,140.3333,76.57,75,71,12.86,ID,1626982411
kokopo,41.3712,-73.414,78.84,56,20,1.01,US,1626982178
havoysund,54.2331,-125.7533,56.62,45,100,13.91,CA,1626982316
puerto colombia,10.346,107.0843,80.26,85,98,16.44,VN,1626982412
sobolevo,51.5528,105.1306,60.82,90,100,5.23,RU,1626982412
krasnaya gora,-31.4333,152.9167,47.28,85,100,6.62,AU,1626982413
auki,46.1777,8.8147,77.29,83,20,4.61,CH,1626982413
chipinge,63.9242,127.4739,58.42,78,22,2.98,RU,1626982413
katete,-41.8697,-73.8203,54.93,95,100,11.01,CL,1626982414
alofi,42.1167,118.7833,69.26,79,79,5.93,CN,1626982414
chagda,42.4308,130.6434,74.52,91,99,3.74,RU,1626982415
porto novo,-8.6199,122.2111,75.06,79,22,4.72,ID,1626982415
ati,34.6959,44.9661,95.7,20,0,6.82,IQ,1626982415
haibowan,14.0078,0.7531,94.28,35,57,9.26,NE,1626982416
yaan,60.7161,-135.0538,62.83,48,40,3,CA,1626982416
leshukonskoye,49.6172,-100.2612,80.46,33,3,4.94,CA,1626982417
moron,-7.9139,39.6668,76.77,77,3,17.76,TZ,1626982417
williams lake,49.6311,72.8539,57.58,53,0,9.57,KZ,1626982417
sardarshahr,20.3833,-100,73.33,62,86,10.92,MX,1626982349
wodonga,66.1451,-65.7125,48.2,81,75,20.71,CA,1626982418
manati,9.0081,1.6654,72.37,93,84,3.89,BJ,1626982419
palamos,-16.4833,-151.75,78.3,72,71,14.76,PF,1626982407
yining,14.9215,-23.5087,81.14,69,20,14.97,CV,1626982372
ruthin,6.6221,73.07,82.81,77,97,18.19,MV,1626982419
fushun,4.5721,28.3955,68.41,94,98,1.9,SS,1626982420
severomuysk,-6.6447,-51.995,95.52,27,55,4.43,BR,1626982420
matara,-21.1833,24.8833,48.45,12,0,9.19,BW,1626982421
cumaribo,28.2333,83.9833,73.35,91,100,2.21,NP,1626982421
sabha,1.8911,33.9661,70.59,66,65,1.05,UG,1626982421
siparia,-16.8099,29.6925,58.59,39,2,2.21,ZW,1626982422
ca mau,-34.2,142.15,44.56,93,90,5.75,AU,1626982422
banjar,4.75,115,78.46,98,100,2.19,MY,1626982256
wattegama,-25.1667,45.05,68.02,77,7,1.83,MG,1626982423
mutsamudu,51.2585,-80.6094,69.78,73,1,13.8,CA,1626982423
khani,-2.9667,-57.6667,84.72,64,98,2.37,BR,1626982424
baiyin,34.1667,77.5833,61.48,49,31,4.74,IN,1626982424
tateyama,20.4197,104.0439,67.46,99,100,3.18,LA,1626982424
san carlos de bariloche,-9.0763,143.2092,76.33,80,100,12.91,PG,1626982398
khartoum,46.2833,22.2333,61.72,69,1,2.75,RO,1626982425
shingu,-17.7333,-149.15,80.62,73,37,12.68,PF,1626982425
ola,43.2554,-2.0187,70.21,86,91,4,ES,1626982426
dajal,40.8021,-124.1637,61.47,74,22,4,US,1626982162
morro bay,43.213,-8.691,62.58,90,25,1.63,ES,1626982426
maniitsoq,41.2508,32.6942,62.35,91,57,3.76,TR,1626982427
merauke,62.8833,152.4333,55.92,94,100,9.46,RU,1626982427
bethel,22.2769,113.5678,82.13,89,20,5.75,CN,1626982428
burns lake,27.4,74.9167,85.1,67,100,10.27,IN,1626982428
vung tau,7.5833,0.6,72.61,90,29,2.01,TG,1626982428
tankhoy,68.0546,166.4372,58.46,41,100,3.36,RU,1626982429
port macquarie,-3.3333,128.9167,75.65,90,98,1.48,ID,1626982429
